EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,Dispensing food with a bowl or other container without a handle. (cinnamon sugar)  ,605,11
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Hands not washed properly.  ,605,12
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,Absorbent material being used to cover food. (towel covering buns)  ,605,13
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,16,"Dishwashing facilities, designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge",No,"Pressure gauge of final rinse on a hot water sanitizing dish machine missing, not working, etc.  ",605,14
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,18,"Wiping cloths clean, use restricted",No,Cloths in use not stored in sanitizer solution.  Storing of chemical sanitizing solution containers on floor.  ,605,15
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,19,Food/Non-food contact surfaces of equip/utensils clean,No,Non-food contact surfaces have accumulation of soil.  ,605,16
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,20,"Storage, handling of clean equipment/utensils/single service articles",No,Clean utensils not stored in the same direction to prevent cross-contamination.  Clean utensils stored under waste water lines.  Clean utensils not being covered or inverted.  Utensils not being air dried.  ,605,17
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,Hand cleaner not provided at lavatory or handwashing sink.  ,605,18
88819,2018/05/16 04:00:00+00,1380006,FOOD SERVICE,BARRET BAR,1012,BARRET AVE,LOUISVILLE,KY,40204,REGULAR,94,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (cheese, hamburger, bacon, brisket, ham, potatoe salad - discarded)  ",605,19
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service.  Potentially hazardous food requiring refrigeration not rapidly cooled to an internal temperature of 41 degrees Fahrenheit or below.  ,605,20
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,4,Facilities to maintain product temp.,No,Lack of properly maintained refrigeration units for potentially hazardous foods.  ,605,21
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,Equipment not maintained in good repair and proper adjustment. (Reach-in cooler door in disrepair)   Cardboard used to line surfaces.  Gasket(s) in disrepair. (Slide open door reach-in cooler)   ,605,22
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,18,"Wiping cloths clean, use restricted",No,Cloths in use stored in sanitizer solution not at proper concentration  ,605,23
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,23,"Installed, maintained",No,Plumbing not maintained in good repair. (Leak at three-compartment sink) (Soap/sanitizer dispenser)   ,605,24
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,"Individual disposable towels, a continuous towel system and/or or hand drying device not provided at lavatory or handsink. (Dispensers out of service in multiple hand sinks) (Need new batteries)   ",605,25
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,30,"Floors constructed, drained, clean, good repair, covering installation, easily cleanable",No,Cardboard used to line floors. ,605,26
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,22,SEWAGE AND WASTE DISPOSAL.,Yes,All sewage and waste water not disposed of in an approved manner. (Two drains by the fryer area are clogged and overflowing)   ,605,27
89377,2018/03/22 04:00:00+00,1366846,FOOD SERVICE,CRAFT HOUSE PIZZA,4041,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,86,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 135 degrees Fahrenheit or higher at all times except during necessary periods of preparation and service.  Meatballs at 117 degrees fahrenheit.,605,28
100462,2018/07/31 04:00:00+00,1401473,FOOD SERVICE,HIGHLAND MORNING ST. MATTHEWS,111,ST MATTHEWS AVE,LOUISVILLE,KY,40207,REGULAR,76,13,SUPERVISION:PERSON IN CHARGE PRESENT AND DEMONSTRATES KNOWLEDGE OF FOOD SAFETY PRINCIPLES,Yes,Person-in-charge does not demonstrate knowledge.  ,605,29
89377,2018/03/22 04:00:00+00,1366846,FOOD SERVICE,CRAFT HOUSE PIZZA,4041,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,86,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,"Employee eating, drinking, smoking in unauthorized area.  Personal drinks observed in food prep areas.",605,30
76227,2018/03/30 04:00:00+00,1368843,FOOD SERVICE,AFC SUSHI @ KROGER #743,12611,TAYLORSVILLE RD,LOUISVILLE,KY,40299,REGULAR,93,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service.  Potentially hazardous food not maintained at 135 degrees Fahrenheit or higher at all times except during necessary periods of preparation and service.  (Brown Rice),605,31
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,2,"Container, properly labeled",No,Container without label.  ,605,32
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,5,Thermometers provided and conspicuous,No,Lack of accurate thermometers in all refrigeration and freezing units storing potentially hazardous foods.  ,605,33
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,8,"Food Protection - storage, prep, display, service, transp.",No,Food not stored at least 6`` off the floor.  ,605,34
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,In use utensil(s) stored in stagnant water below 135 degrees F.  ,605,35
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (personal drink stored next to and above customer food and food preperation) (corrected)  ,605,36
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,"Equipment not maintained in good repair and proper adjustment. (use of adhesive tape on fryer handle)  Food contact surfaces and/or utensils are not durable, corrosion resistant or non-absorbent. (lining counter with absorbent towel)  ",605,37
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,Food contact surfaces not clean and sanitized. (can-opener blade)  The chlorine solution for manual/mechanical warewashing is not at the proper concentration level. (dishwasher functioning at below 50 ppm chlorine solution) (corrected)  ,605,38
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,18,"Wiping cloths clean, use restricted",No,Cloths in use not stored in sanitizer solution.  ,605,39
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,22,SEWAGE AND WASTE DISPOSAL.,Yes,All sewage and waste water not disposed of in an approved manner. (sewage back up in 3 compartment sink)  ,605,40
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,23,"Installed, maintained",No,Condensation leak inside of cooler(s).  ,605,41
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,Hand cleaner not provided at lavatory or handwashing sink.  ,605,42
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,27,"Containers or receptacles, covered, adequate number, insect/rodent proof, frequency, clean. Outside storage area enclosures properly constructed, clean, controlled incineration",No,Garbage and refuse containers not covered as required. (dumpster)  ,605,43
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,29,Outer openings protected,No,Outer openings not protected against the entry of pests. (back door)  ,605,44
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,Hoods not clean.  ,605,45
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items do not bear a legible manufacturer`s label.  ,605,46
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items do not bear a legible manufacturer`s label.  ,605,47
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,"Individual disposable towels, a continuous towel system and/or or hand drying device not provided at lavatory or handsink.  ",605,48
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,28,"INSECTS/RODENTS-NO BIRDS, TURTLES, OTHER ANIMALS",Yes,Presence of insects.  ,605,49
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,29,Outer openings protected,No,Outer openings not protected against the entry of pests.  ,605,50
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,"Walls and/or ceiling are not designed, constructed and/or installed properly. (walls and baseboards in disrepair) (peeling paint on wall)  ",605,51
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (shrimp at 53 degrees F, and steak at 56 degrees F) (discarded)  Potentially hazardous food requiring refrigeration not rapidly cooled to an internal temperature of 41 degrees Fahrenheit or below. (cooked beef) (discarded)  ",605,52
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,28,"INSECTS/RODENTS-NO BIRDS, TURTLES, OTHER ANIMALS",Yes,Presence of rodents.  ,605,53
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Expired Grade A dairy. (milk dated to expire on 3/31/18)  Not clearly marked to indicate the date or day by which food shall be consumed, sold or discarded on the premises. (mushroooms and soup)  ",605,54
92609,2018/08/27 04:00:00+00,1410174,FOOD SERVICE,DIORIO'S PIZZA & PUB,919,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,81,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"PHF held at unsafe temperature, 46-54 F, meats, cooked pasta, sauces.",605,55
92609,2018/08/27 04:00:00+00,1410174,FOOD SERVICE,DIORIO'S PIZZA & PUB,919,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,81,4,Facilities to maintain product temp.,No,Prep cooler not maintaining temperature.,605,56
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,23,"Installed, maintained",No,Leak at ice machine.  ,605,57
92609,2018/08/27 04:00:00+00,1410174,FOOD SERVICE,DIORIO'S PIZZA & PUB,919,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,81,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,Dishwasher not sanitizing.,605,58
71263,2018/10/12 04:00:00+00,1420990,FOOD SERVICE,CHEER KING STAR,231,S 5TH ST,LOUISVILLE,KY,40202,REGULAR,84,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,Raw potentially hazardous food not being stored to prevent cross-contamination.  ,605,59
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,"Walls and/or ceiling are not designed, constructed and/or installed properly. (walls and ceiling in disrepair.  Ceiling indicates severe water damage)  ",605,60
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,8,"Food Protection - storage, prep, display, service, transp.",No,Food not protected during storage. (raw ground beef stored over ready to eat food)  ,605,61
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,5,Thermometers provided and conspicuous,No,Lack of accurate thermometers in all refrigeration and freezing units storing potentially hazardous foods.  ,605,62
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s).  ,605,63
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (shredded and sliced cheese, and sausage holding at 49 degrees F) (discarded)  ",605,64
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,19,Food/Non-food contact surfaces of equip/utensils clean,No,"Non-food contact surfaces have accumulation of soil. (bar shelving, fireball machine)  ",605,65
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,22,SEWAGE AND WASTE DISPOSAL.,Yes,All sewage and waste water not disposed of in an approved manner. (leak in waste pipe at 3-compartment sink)  ,605,66
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,20,"Storage, handling of clean equipment/utensils/single service articles",No,Improper storage of clean utensils. (clean equipment stored on the floor)  ,605,67
35038,2018/04/19 04:00:00+00,1373106,FOOD SERVICE,STRIKE & SPARE FAMILY FUN CENTER,6220,SHEPHERDSVILLE RD,LOUISVILLE,KY,40228,REGULAR,68,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,"Individual disposable towels, a continuous towel system and/or or hand drying device not provided at lavatory or handsink.  ",605,68
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (dairy, house made dressings, deli meat, cooked vegetables 44-57 F)    Corrected, discarded immediately  ",605,69
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,4,Facilities to maintain product temp.,No,Lack of properly maintained refrigeration units for potentially hazardous foods. 45-50 F reach in cooler on line  ,605,70
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,8,"Food Protection - storage, prep, display, service, transp.",No,"Food not protected during storage. (raw shell eggs, food not stored at least six inches off of floor)  ",605,71
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,16,"Dishwashing facilities, designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge",No,Warewashing machine not properly operated. (items not air dried before being stacked)  ,605,72
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,"The chlorine solution for manual/mechanical warewashing is not at the proper concentration level. (0 ppm Chlorine, operator actively washing dishes during inspection)      Corrected, Operator may not use the dishwashing machine for warewashing until it is repaired.  ",605,73
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,18,"Wiping cloths clean, use restricted",No,Cloths in use not stored in sanitizer solution.  ,605,74
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,23,"Installed, maintained",No,"Plumbing not maintained in good repair. (leak at sanitizer dispenser, 3 comp sink)  Condensation leaks in reach in cooler on cook line and walk in freezer.  ",605,75
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,20,"Storage, handling of clean equipment/utensils/single service articles",No,Improper storage of clean utensils.  Improper display/storage of single service items. (not stored at least six inches off of floor)  ,605,76
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,  Working containers used for storing poisonous or toxic materials are not clearly and individually identified with the common name.  ,605,77
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,34,"Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used",No,Employee clothing/possessions not stored in lockers  ,605,78
89389,2018/04/17 04:00:00+00,1372602,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,74,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,"Individual disposable towels, a continuous towel system and/or or hand drying device not provided at lavatory or handsink.  ",605,79
56899,2018/06/07 04:00:00+00,1385817,FOOD SERVICE,WENDYS #310,193,OUTER LOOP,LOUISVILLE,KY,40214,REGULAR,66,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (employee drinks stored on food preperation line and next to food storage) (corrected)  Employee personal drinks do not have a lid and straw.  ,605,80
56899,2018/06/07 04:00:00+00,1385817,FOOD SERVICE,WENDYS #310,193,OUTER LOOP,LOUISVILLE,KY,40214,REGULAR,66,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items not properly stored. (chemicals stored next to single service items) (corrected)  ,605,81
