Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Taco More,78758,06/22/2020,74,"9414 PARKFIELD DR
AUSTIN, TX 78758
(30.36779, -97.70601)",10006920,Routine Inspection
El Chilito Tacos y Cafe,78745,01/19/2023,94,"4501 MANCHACA RD
AUSTIN, TX 78745
(30.2281, -97.78951)",11744364,Routine Inspection
OOB - Zotas Night Club,78744,06/24/2020,83,"4700 BURLESON RD
AUSTIN, TX 78744
(30.21301, -97.73087)",11711501,Routine Inspection
MN - Manor New Tech High School,78653,02/17/2022,98,"10323 E US 290 HWY
MANOR, TX 78653
(30.34498, -97.57351)",10018050,Routine Inspection
RW-Finish Line Car Wash,78746,08/19/2021,95,"2900 BEE CAVES RD
ROLLINGWOOD, TX 78746
(30.27061, -97.79126)",12147956,Routine Inspection
Super Moreliana-Taqueria,78744,01/24/2023,86,"6112 S US 183 HWY
AUSTIN, TX 78744
(30.16767, -97.69205)",10726921,Routine Inspection
Short Stop #5,78757,04/03/2020,93,"3001 W ANDERSON LN
AUSTIN, TX 78757
(30.36029, -97.74)",2800326,Routine Inspection
Anjappar Indian Cuisine And Bar,78750,11/10/2021,73,"12233 N FM 620 RD
AUSTIN, TX 78750
(30.46226, -97.81577)",12393411,Routine Inspection
Cuatro Gato,78701,04/27/2021,73,"310 COLORADO ST
AUSTIN, TX 78701
(30.26617, -97.74497)",12393644,Routine Inspection
Walgreens #04704,78751,03/01/2022,98,"4501 GUADALUPE ST
AUSTIN, TX 78751
(30.31102, -97.73289)",2803742,Routine Inspection
Fairmont Austin - Employee Cafeteria (Level 2),78701,01/19/2021,99,"101 RED RIVER ST
AUSTIN, TX 78701
(30.26193, -97.73885)",11853705,Routine Inspection
MN - Wal-Mart # 3169 - Grocery,78653,12/07/2022,97,"11923 E US 290 HWY
MANOR, TX 78653
(30.34906, -97.54325)",11087462,Routine Inspection
Baguette House & Cafe,78753,09/09/2021,72,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.37841, -97.6879)",10275866,Routine Inspection
Amy's Ice Cream,78703,05/03/2021,85,"1012 W 6TH ST
AUSTIN, TX 78703
(30.27174, -97.7545)",2800027,Routine Inspection
Sonesta ES Suites Austin Arboretum,78759,12/29/2021,93,"10201 STONELAKE BLVD
AUSTIN, TX 78759
(30.39319, -97.73933)",2801499,Routine Inspection
Pho Dinh Vietnamese Cuisine,78753,03/25/2022,94,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.36407, -97.69504)",12185748,Routine Inspection
Driskill Hotel -1886 Cafe,78701,08/10/2022,93,"604 BRAZOS ST
AUSTIN, TX 78701
(30.26798, -97.74137)",10918296,Routine Inspection
La Finca Super Mercado,78753,04/05/2021,88,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36657, -97.69506)",11742299,Routine Inspection
Uroko,78721,11/22/2021,90,"1023 SPRINGDALE RD
AUSTIN, TX 78721
(30.26793, -97.69405)",12168955,Routine Inspection
Sonesta Select Austin North,78752,04/21/2022,98,"7522 N IH
STE A AUSTIN, TX 78752",12395250,Routine Inspection
Subway,78750,12/09/2021,94,"12129 N FM 620 RD
AUSTIN, TX 78750
(30.46169, -97.81753)",2801660,Routine Inspection
PF - Al Zaytoon,78660,01/26/2022,86,"616 FM 685 RD
PFLUGERVILLE, TX 78660
(30.44193, -97.61046)",12186655,Routine Inspection
Paul Martin's American Grill,78758,01/19/2021,86,"3120 PALM WAY
AUSTIN, TX 78758
(30.40257, -97.72129)",11606623,Routine Inspection
"HEB Food Store #639 - Deli, Bakery, Produce, Cafe",78723,03/10/2022,90,"1801 E 51ST ST
AUSTIN, TX 78723
(30.30251, -97.69818)",10999165,Routine Inspection
Lamme's Candies,78751,12/22/2022,100,"5330 AIRPORT BLVD
AUSTIN, TX 78751
(30.31572, -97.71449)",2803345,Routine Inspection
Jaliscos,78746,06/02/2022,81,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.25613, -97.81065)",12395538,Routine Inspection
Satellite...Eat.Drink.Orbit,78749,01/05/2023,75,"5900 W SLAUGHTER LN
AUSTIN, TX 78749
(30.20085, -97.87901)",10306990,Routine Inspection
Randall's #2475-Retail,78731,11/15/2022,93,"5401 BALCONES DR
AUSTIN, TX 78731
(30.33569, -97.75836)",2803531,Routine Inspection
Vinaigrette TX LLC,78704,06/14/2021,78,"2201 COLLEGE AVE
AUSTIN, TX 78704
(30.24125, -97.75196)",11463881,Routine Inspection
Fairmont Austin - Fulton & In Room Dining (Level 1 & P1),78701,07/26/2021,93,"101 RED RIVER ST
AUSTIN, TX 78701
(30.26193, -97.73885)",11853701,Routine Inspection
La Mexiquense,78753,05/16/2022,92,"850 E RUNDBERG LN
AUSTIN, TX 78753
(30.35704, -97.68584)",12185750,Routine Inspection
Cru Wine Bar,78701,05/03/2021,95,"238 W 2ND ST
AUSTIN, TX 78701
(30.2648, -97.74601)",2803030,Routine Inspection
Y Comida,78744,11/01/2022,100,"3400 COMSOUTH DR
AUSTIN, TX 78744
(30.212, -97.71976)",12397332,Routine Inspection
Speedway Market,78705,07/19/2022,100,"104 E 31ST ST
AUSTIN, TX 78705
(30.29507, -97.73665)",12394309,Routine Inspection
MOD Super Fast Pizza,78753,04/28/2020,100,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.406841, -97.672884)",11518681,Routine Inspection
Creek Side Cafe,78759,09/22/2022,94,"8310 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78759
(30.38421, -97.76844)",10639178,Routine Inspection
PF - Wingstop #1112,78660,03/09/2022,98,"18816 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.46913, -97.59581)",12186659,Routine Inspection
Oak Springs Elementary,78702,05/02/2022,100,"3601 WEBBERVILLE RD
AUSTIN, TX 78702
(30.27221, -97.70499)",2800342,Routine Inspection
Wal-Mart Supercenter #2133 -Meat,78749,05/21/2020,100,"5017 W US 290 HWY
EB AUSTIN, TX 78749
(30.23327, -97.82194)",10193646,Routine Inspection
South Congress Hotel,78704,05/05/2021,88,"1603 S CONGRESS AVE
AUSTIN, TX 78704
(30.2475, -97.75045)",11398832,Routine Inspection
Hyatt Place Austin Airport,78719,05/18/2021,90,"9532 SPIRIT OF AUSTIN LN
AUSTIN, TX 78719
(30.210914, -97.666305)",11933212,Routine Inspection
Left Wing,78705,08/09/2021,92,"2416 GUADALUPE ST
AUSTIN, TX 78705
(30.2882, -97.74155)",12158630,Routine Inspection
St David's South Hosp (Columbia),78745,11/12/2021,95,"901 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.22669, -97.77385)",2800266,Routine Inspection
New Twin Creek Grocery,78653,02/28/2022,90,"16419 FM 969 RD
AUSTIN, TX 78653
(30.25182, -97.55846)",11580529,Routine Inspection
Top Taco,78726,07/06/2020,93,"10505 N FM 620 RD
AUSTIN, TX 78726
(30.44392, -97.83291)",12001874,Routine Inspection
Las Palomas,78746,06/11/2021,82,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.27377, -97.80053)",2800591,Routine Inspection
DogHaus,78751,06/07/2022,70,"5610 N IH
AUSTIN, TX 78751",12394161,Routine Inspection
Barton Creek Elementary,78733,09/20/2022,96,"1370 PATTERSON RD
AUSTIN, TX 78733
(30.30397, -97.87811)",2800711,Routine Inspection
Juice Land Burnet,78757,01/18/2023,91,"7329 BURNET RD
AUSTIN, TX 78757
(30.34941, -97.73501)",10757816,Routine Inspection
St. Louis Catholic Church - Wozniak Kitchen,78757,05/13/2021,94,"7601 BURNET RD
AUSTIN, TX 78757
(30.35249, -97.73309)",12091496,Routine Inspection
Little Brother South Congress,78704,03/16/2021,92,"1512 S CONGRESS AVE
AUSTIN, TX 78704
(30.24839, -97.75013)",12392337,Routine Inspection
Fleming's Prime Steakhouse & Wine Bar,78758,04/15/2020,100,"11600 CENTURY OAKS TER
AUSTIN, TX 78758
(30.40319, -97.72499)",10212392,Routine Inspection
Popeye's #325 - Z & H Foods Inc.,78741,05/18/2022,88,"2320 E RIVERSIDE DR
AUSTIN, TX 78741
(30.23743, -97.72549)",11637630,Routine Inspection
Sonic Drive - In #1583,78729,06/29/2021,77,"6816 MC NEIL DR
AUSTIN, TX 78729
(30.43794, -97.7587)",12393742,Routine Inspection
Sweetgreen,78701,12/02/2022,99,"200 W 2ND ST
AUSTIN, TX 78701
(30.26471, -97.74569)",12395142,Routine Inspection
Rice Bowl Cafe,78753,06/21/2021,94,"11220 N LAMAR BLVD
AUSTIN, TX 78753
(30.3818, -97.68644)",10446331,Routine Inspection
Primrose School of Four Points,78730,01/05/2022,100,"6606 SITIO DEL RIO BLVD
AUSTIN, TX 78730
(30.39144, -97.84254)",11771190,Routine Inspection
Poco Loco Supermercado - Grocery/Produce/Carniceria,78745,04/26/2021,90,"611 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.22645, -97.77015)",11258727,Routine Inspection
Man Pasand Supermarket,78717,07/13/2021,79,"13945 N US 183 HWY
AUSTIN, TX 78717
(30.47186, -97.7978)",11738497,Routine Inspection
Austin Achieve Public Schools,78752,11/06/2020,99,"7424 E US 290 HWY
SVRD WB AUSTIN, TX 78752
(30.32473, -97.67683)",11981929,Routine Inspection
C-Mart #7,78744,11/22/2022,98,"5200 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.18026, -97.74776)",10003415,Routine Inspection
"Wingman Kitchens, LLC",78721,05/13/2022,89,"1023 SPRINGDALE RD
AUSTIN, TX 78721
(30.26793, -97.69405)",12185791,Routine Inspection
Northwest Little League,78757,06/15/2021,97,"3105 HUNT TRL
AUSTIN, TX 78757
(30.34478, -97.74958)",2800476,Routine Inspection
Fire Bowl Cafe,78613,07/29/2021,100,"13000 N FM 620 RD
AUSTIN, TX 78613",11667242,Routine Inspection
MN - Sonic Drive-In #4057,78653,10/04/2022,98,"11215 E US 290 HWY
MANOR, TX 78653
(30.34822, -97.55535)",12393752,Routine Inspection
Pho Please,78741,07/16/2021,76,"1920 E RIVERSIDE DR
AUSTIN, TX 78741
(30.24237, -97.72862)",11465251,Routine Inspection
Taqueria Morelos,78744,09/30/2020,86,"3100 S US 183 HWY
AUSTIN, TX 78744
(30.20488, -97.68346)",2802982,Routine Inspection
El Nuevo Mexico Restaurant,78757,04/07/2022,88,"911 W ANDERSON LN
AUSTIN, TX 78757
(30.34806, -97.71414)",10206751,Routine Inspection
Pappasito's Restaurant,78752,06/17/2022,92,"6513 N IH
AUSTIN, TX 78752",2800371,Routine Inspection
Baskin Robbins,78758,08/21/2020,95,"12407 N MOPAC EXPY
AUSTIN, TX 78758
(30.41825, -97.7044)",2802274,Routine Inspection
J.D's Market #4,78737,06/11/2020,78,"11720 FM 1826 RD
AUSTIN, TX 78737
(30.19255, -97.92506)",10564903,Routine Inspection
Tony C's Pizza and Beer Garden,78757,02/18/2022,88,"2900 W ANDERSON LN
AUSTIN, TX 78757
(30.35959, -97.73741)",12186537,Routine Inspection
Accent Food Markets,78717,08/17/2021,97,"9825 SPECTRUM DR
AUSTIN, TX 78717
(30.48079, -97.7736)",11457154,Routine Inspection
411 First Floor,78701,01/12/2023,88,"404 E 6TH ST
AUSTIN, TX 78701
(30.267, -97.73903)",10586003,Routine Inspection
Twin Peaks,78745,12/03/2020,93,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",10080943,Routine Inspection
Little Caesar's Pizza,78745,03/10/2022,83,"512 W STASSNEY LN
AUSTIN, TX 78745
(30.20794, -97.78032)",2800386,Routine Inspection
Titaya's Thai Cuisine,78751,03/22/2022,77,"5501 N LAMAR BLVD
AUSTIN, TX 78751
(30.32335, -97.72797)",2803076,Routine Inspection
Baguette House & Cafe,78753,05/15/2020,81,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.37841, -97.6879)",10275866,Routine Inspection
Fierce Whiskers Distillery,78744,09/15/2022,91,"5333 FLEMING CT
AUSTIN, TX 78744
(30.20548, -97.72681)",12393327,Routine Inspection
College Houses Inc-Laurel House,78705,04/21/2022,88,"1905 NUECES ST
AUSTIN, TX 78705
(30.28304, -97.74411)",10174989,Routine Inspection
SV - Barnes & Noble Booksellers,78745,02/07/2022,98,"5601 BRODIE LN
SUNSET VALLEY, TX 78745
(30.22756, -97.82157)",2801109,Routine Inspection
Dollar General Store #3273,78745,07/15/2022,100,"709 W STASSNEY LN
AUSTIN, TX 78745
(30.20819, -97.78302)",10046160,Routine Inspection
7-Eleven Convenience Store #35801A,78754,02/09/2023,82,"9704 GILES LN
AUSTIN, TX 78754
(30.3317, -97.62358)",12094330,Routine Inspection
Orange Market 2 Inc,78705,11/24/2021,87,"2401 SAN GABRIEL ST
AUSTIN, TX 78705
(30.28845, -97.74779)",12394087,Routine Inspection
Cielo Night Club,78701,04/14/2022,85,"505 NECHES ST
AUSTIN, TX 78701
(30.26624, -97.73847)",10986524,Routine Inspection
"Yowza Spice, LLC",78758,09/29/2022,97,"8309 RESEARCH BLVD
AUSTIN, TX 78758
(30.35625, -97.71509)",12394996,Routine Inspection
OOB - 7-Eleven Convenience Store # 36564A,78732,03/31/2020,95,"7002 N FM 620 RD
AUSTIN, TX 78732",11066939,Routine Inspection
Del Valle ISD Concessions - (Visitor),78617,02/23/2021,98,"5201 ROSS RD
AUSTIN, TX 78617
(30.17804, -97.61556)",11769827,Routine Inspection
Phi Gamma Delta Fraternity,78705,04/14/2022,90,"300 W 27TH ST
AUSTIN, TX 78705
(30.29194, -97.74067)",2800480,Routine Inspection
Pho Saigon,78753,11/12/2021,92,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.37841, -97.6879)",10001056,Routine Inspection
Buffalo Wild Wings #620,78752,11/06/2020,84,"7604 N IH
SVRD SB AUSTIN, TX 78752",11398783,Routine Inspection
Taco More Restaurant,78741,04/16/2020,95,"2015 E RIVERSIDE DR
AUSTIN, TX 78741
(30.24075, -97.72755)",10779388,Routine Inspection
Eden Oriental Garden LLC,78727,06/06/2022,61,"12221 RIATA TRACE PKWY
AUSTIN, TX 78727
(30.42904, -97.75075)",12395211,Follow-Up Inspection
El Pollo Rico # 8,78722,07/26/2021,79,"3909 N IH
AUSTIN, TX 78722",11964856,Routine Inspection
OOB Hole In The Wall Tex-Mex Cuisine,78728,06/13/2022,92,"14735 BRATTON LN
AUSTIN, TX 78728
(30.44625, -97.68575)",12395777,Routine Inspection
Grab N Goat,78704,01/28/2022,100,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.23233, -97.75858)",12185962,Routine Inspection
BC - Baguette et Chocolat,78738,04/03/2020,99,"12101 FM 2244 RD
BEE CAVE, TX 78738
(30.30757, -97.92663)",10393760,Routine Inspection
Windsor Nursing and Rehabilitation Center of Duval,78727,11/16/2020,80,"5301 DUVAL RD
AUSTIN, TX 78727
(30.41803, -97.74319)",12061709,Routine Inspection
Phi Gamma Delta Fraternity,78705,09/28/2020,85,"300 W 27TH ST
AUSTIN, TX 78705
(30.29194, -97.74067)",2800480,Routine Inspection
Domino's Pizza,78747,12/08/2020,97,"10001 S IH
SVRD NB AUSTIN, TX 78747",11978619,Routine Inspection
Bon Appetit - Ragsdale,78704,01/30/2023,95,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.23233, -97.75858)",10054970,Routine Inspection
"Plucker's Linc, LLC",78752,05/15/2020,92,"6406 N IH
AUSTIN, TX 78752",11719409,Routine Inspection
China Family,78752,09/08/2022,47,"6801 AIRPORT BLVD
AUSTIN, TX 78752
(30.33397, -97.71636)",12125306,Routine Inspection
Taqueria Guadalajara,78753,09/17/2020,71,"9207 N LAMAR BLVD
AUSTIN, TX 78753
(30.36152, -97.69792)",10008754,Routine Inspection
Jack in the Box #843,78758,07/16/2021,93,"9825 BURNET RD
AUSTIN, TX 78758
(30.38307, -97.72419)",10789951,Routine Inspection
Poco Loco Supermercado - Deli & Bakery,78745,01/06/2022,79,"611 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.22645, -97.77015)",11055998,Routine Inspection
BC - Urban Air,78738,02/11/2022,89,"3944 S FM 620 RD
BEE CAVE, TX 78738",12393831,Routine Inspection
Veracruz All Natural,78701,03/29/2022,83,"111 E CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.26317, -97.74378)",12393142,Routine Inspection
HEB #031Retail Food,78750,05/05/2022,97,"12860 N US 183 HWY
AUSTIN, TX 78750
(30.43501, -97.77199)",10082173,Routine Inspection
Taco Sweets,78613,08/04/2022,100,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47181, -97.80337)",12394922,Routine Inspection
Ryan Sanders Sports Services,78744,06/16/2020,87,"5400 JIMMY CLAY DR
AUSTIN, TX 78744
(30.18832, -97.73244)",11612024,Routine Inspection
SV - BJ's Restaurant & Brewhouse,78745,03/10/2021,91,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.23132, -97.81844)",10029239,Routine Inspection
Express Food Mart #7,78753,12/28/2021,89,"10500 N LAMAR BLVD
AUSTIN, TX 78753
(30.37405, -97.69127)",2803985,Routine Inspection
Lake Point Elementary,78738,10/25/2022,97,"11801 SONOMA DR
BEE CAVE, TX 78738
(30.30944, -97.9211)",2801609,Routine Inspection
7-Eleven Convenience Store #38609H,78728,08/18/2022,92,"1600 W WELLS BRANCH PKWY
AUSTIN, TX 78728
(30.44045, -97.67004)",12107176,Routine Inspection
"Kebab Shop, The",78702,02/25/2022,95,"1011 E 5TH ST
AUSTIN, TX 78702
(30.26388, -97.73198)",12393865,Routine Inspection
High 5,78757,06/14/2022,83,"2700 W ANDERSON LN
AUSTIN, TX 78757
(30.3581, -97.73512)",12039950,Routine Inspection
Cuba512,78745,05/20/2021,79,"6800 WEST GATE BLVD
AUSTIN, TX 78745
(30.20911, -97.81566)",11286664,Routine Inspection
Sonic Drive - In #1531,78723,04/08/2022,93,"6208 CAMERON RD
AUSTIN, TX 78723
(30.32, -97.69664)",12393746,Routine Inspection
Craig O's Pizza & Pastaria,78731,11/09/2021,90,"5501 BALCONES DR
AUSTIN, TX 78731
(30.33603, -97.75751)",10348378,Routine Inspection
"Bearded Baking Company, The",78752,05/18/2022,100,"1300 E ANDERSON LN
AUSTIN, TX 78752
(30.3343, -97.68934)",12395283,Routine Inspection
Kim Phung Vietnamese and Chinese Restaurant,78752,08/31/2022,72,"7601 N LAMAR BLVD
AUSTIN, TX 78752
(30.34426, -97.71418)",10009073,Routine Inspection
"Schlotzsky's Stores, LLC",78753,05/08/2020,100,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.406841, -97.672884)",10004379,Routine Inspection
Filipino Asian Mart,78748,03/08/2022,96,"615 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17216, -97.80139)",11418638,Routine Inspection
Four Brothers,78746,04/21/2021,95,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.25613, -97.81065)",12186541,Routine Inspection
Mai Thai,78701,08/03/2021,79,"207 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.26436, -97.74152)",10535930,Routine Inspection
MN - Wal-Mart # 3169 - Bakery,78653,01/14/2021,98,"11923 E US 290 HWY
MANOR, TX 78653
(30.34906, -97.54325)",11087492,Routine Inspection
China Cafe,78759,05/04/2020,88,"3901 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.36583, -97.75125)",2802508,Routine Inspection
Mobile Loaves and Fishes - Community First Village,78724,01/11/2021,98,"9301 HOG EYE RD
AUSTIN, TX 78724
(30.28215, -97.62329)",11845561,Routine Inspection
LW - Raising Cane's Restaurants,78734,04/14/2022,100,"1600 S FM 620 RD
LAKEWAY, TX 78734",11531765,Routine Inspection
Subway #13723,78731,07/14/2022,97,"3710 CRAWFORD AVE
AUSTIN, TX 78731
(30.30798, -97.74939)",12394874,Routine Inspection
Chipotle Mexican Grill #92,78705,09/14/2020,90,"2230 GUADALUPE ST
AUSTIN, TX 78705
(30.28563, -97.74175)",10176471,Routine Inspection
Crema Bakery & Cafe,78748,09/22/2020,71,"9001 BRODIE LN
AUSTIN, TX 78748
(30.19406, -97.84255)",10892863,Routine Inspection
Domino's,78705,08/20/2020,97,"1900 GUADALUPE ST
AUSTIN, TX 78705
(30.28218, -97.74208)",12186099,Routine Inspection
Tokyo Gardens Catering,78759,03/23/2021,98,"10710 RESEARCH BLVD
SB AUSTIN, TX 78759
(30.39799, -97.74658)",2802635,Routine Inspection
Beta Upsilon Chi,78705,08/30/2022,88,"2317 SHOAL CREEK BLVD
AUSTIN, TX 78705
(30.28826, -97.75147)",12395514,Routine Inspection
"PF - Human Bean, The",78660,01/05/2022,97,"105 REX KERWIN CT
PFLUGERVILLE, TX 78660
(30.44408, -97.62811)",12394142,Routine Inspection
LW - Lexus of Lakeway,78734,01/27/2022,99,"108 S FM 620 RD
LAKEWAY, TX 78734
(30.36646, -97.95093)",12076818,Routine Inspection
Taco Ranch,78749,11/18/2021,100,"5033 W US 290 HWY
AUSTIN, TX 78749
(30.23385, -97.82226)",11833191,Routine Inspection
El Pollo Rico # 11,78748,06/23/2021,88,"609 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17305, -97.80034)",12109787,Routine Inspection
Tony's Jamaican Food,78660,04/30/2021,99,"2700 W PECAN ST
AUSTIN, TX 78660
(30.44932, -97.65701)",12062528,Routine Inspection
JD's Market,78719,01/20/2021,95,"9111 FM 812 RD
AUSTIN, TX 78719
(30.16131, -97.68694)",11858488,Routine Inspection
Dollar Tree #6785,78723,08/21/2020,92,"7112 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.31268, -97.66279)",11580554,Routine Inspection
40 North LLC,78703,04/10/2020,90,"900 W 10TH ST
AUSTIN, TX 78703
(30.27478, -97.7517)",11902749,Routine Inspection
Laurel Mountain Elem School,78759,03/29/2021,100,"10111 D K RANCH RD
AUSTIN, TX 78759
(30.41431, -97.78165)",2800705,Routine Inspection
Fairfield Inn & Suites,78751,05/20/2021,93,"959 REINLI ST
AUSTIN, TX 78751
(30.31909, -97.70848)",11907421,Routine Inspection
S & S Food Mart,78753,04/03/2020,98,"9405 N IH
AUSTIN, TX 78753",10578780,Routine Inspection
Sweet Briar CDC LLC,78745,02/07/2022,99,"205 SANDRA ST
AUSTIN, TX 78745
(30.20462, -97.77669)",11927026,Routine Inspection
El Alma Cafe y Cantina,78704,07/14/2021,79,"1025 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.26027, -97.75553)",10319839,Routine Inspection
Stepping Stone School II,78757,09/08/2022,93,"8419 BOWLING GREEN DR
AUSTIN, TX 78757
(30.36568, -97.72723)",2800536,Routine Inspection
QuikTrip # 4126,78753,08/06/2021,98,"861 E BRAKER LN
AUSTIN, TX 78753
(30.37597, -97.67356)",12392932,Routine Inspection
Church's Chicken Store No. 765,78758,12/11/2020,87,"8545 RESEARCH BLVD
AUSTIN, TX 78758
(30.36087, -97.71634)",11843281,Routine Inspection
Tous le Jours,78717,09/01/2022,93,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.479897, -97.797927)",12394236,Routine Inspection
Truluck's (Austin's),78701,11/16/2022,85,"200 W 4TH ST
AUSTIN, TX 78701
(30.26657, -97.74489)",2801538,Routine Inspection
ABIA - Admirals Club HMS Host,78719,07/24/2020,87,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.20263, -97.66714)",12185608,Routine Inspection
Gus Garcia Young Men's Leadership Academy,78724,05/05/2022,96,"7414 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.30802, -97.64354)",10065968,Routine Inspection
